"CDB ID";"SHELF SET";ID;"USER ID";SKU;"SKU ID";"PRODUCT DESCRIPTION 1";"PRODUCT DESCRIPTION 2";"PRODUCT DESCRIPTION 3";"PRODUCT CATEGORY";BRAND;SUBBRAND;PURPOSE;CLIENT;"UNIT OF MEASUREMENT";CONSIDERATIONS;QUANTITY;PRICE;"MONEY SPENT";"PURCHASE NUMBER";SHELF;"SHELF OPENED";"TIME SPENT ON SHELF";"TIME SPENT ON SKU";"ADDED TO BASKET";"DELETED FROM BASKET";"ADDED TO CART";"REMOVED FROM CART";"FIRST BUY";"TIME BEFORE FIRST BUY";DEVICE;"TEST START";COORDINATES;"TIME BEFORE PURCHASE";"SESSION STATUS";KPI1;KPI2;KPI3;KPI4;KPI5;"TIME TO LOAD";"AD VIDEO OPEN";"AD VIDEO CLOSED";"AD VIDEO DURATION";"PRODUCT ZOOMED";"SHELF ORDER";"INSTR TIME"
;2022044_vs_cell3;0321RAJD;p3vjbfmerjymfj1p;"COMMUNITY COFFEE HOUSE BLEND 12 PODS";wJZqM8BY;;;;Coffee;"COMMUNITY COFFEE";;Non-target;;pack;1;1;8.99;8.9900;3;2022044_vs_cell3;1;79;2;0;0;1;0;06:33:13;72;Desktop;"2022-05-02 06:32:01";"x,y,width,height: 841,90,14.659853693182,9.9856974431818";78;Completed;A17;1;;;;3;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0321RAJD;p3vjbfmerjymfj1p;"GREEN MOUNTAIN VANILLA CARAMEL 12 PODS";dy1zqLrD;;;;Coffee;"GREEN MOUNTAIN ";;BOI;;pack;1;1;8.99;8.9900;2;2022044_vs_cell3;1;79;2;0;0;1;0;06:33:13;72;Desktop;"2022-05-02 06:32:01";"x,y,width,height: 333,149,15.031661576705,9.7732357954545";75;Completed;E12;1;;;;3;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0321RAJD;p3vjbfmerjymfj1p;"MAXWELL HOUSE THE ORIGINAL ROAST 32 PODS";orE3LjJY;;;;Coffee;"MAXWELL HOUSE ";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell3;1;79;10;0;0;1;0;06:33:13;72;Desktop;"2022-05-02 06:32:01";"x,y,width,height: 879,390,19.28089453125,19.493356178977";72;Completed;F23;2;;;;3;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0327DYBy;vxxb1tu4u3j0t16z;"STARBUCKS HAZELNUT 10 PODS";VJYa8QJ5;;;;Coffee;STARBUCKS;;Non-target;;pack;1;2;9.99;19.9800;1;2022044_vs_cell3;1;119;4;0;0;1;0;20:37:12;107;Desktop;"2022-05-05 20:35:25";"x,y,width,height: 228,385,15.1910078125,9.8263512073864";107;Completed;E6;1;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0327DYBy;vxxb1tu4u3j0t16z;"STARBUCKS VERANDA BLEND 10 PODS";LJNXYDrv;;;;Coffee;STARBUCKS;;Non-target;;pack;1;NULL;9.99;NULL;NULL;2022044_vs_cell3;1;119;5;0;0;0;0;20:37:12;107;Desktop;"2022-05-05 20:35:25";"x,y,width,height: 239,168,15.084776988636,9.7732357954545";NULL;Completed;D5;1;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0329olMJ;t69c83z5gkjdc95n;"GREEN MOUNTAN NANTUCKET BLEND 32 PODS";xBlWMErL;;;;Coffee;"GREEN MOUNTAN";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell3;1;23;2;0;0;1;0;00:48:28;21;Desktop;"2022-05-06 00:48:07";"x,y,width,height: 357,212,19.599587002841,19.652702414773";21;Completed;C5;2;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0329xXQJ;q3s6cv5rezdw0dd8;"DUNKIN CARAMEL ME CRAZY 10 PODS";VBDOlRre;;;;Coffee;"DUNKIN DONUTS ";;Non-target;;pack;1;NULL;9.99;9.9900;3;2022044_vs_cell3;1;108;0;0;0;0;0;14:24:38;62;Desktop;"2022-05-02 14:23:36";"x,y,width,height: 776,404,15.297238636364,9.9856974431818";107;Closed;F16;1;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0329xXQJ;q3s6cv5rezdw0dd8;"DONUT SHOP CARAMEL LATE 10 PODS";nBRLmjyp;;;;Coffee;"DONUT SHOP";;Specialty;;pack;1;1;8.99;8.9900;2;2022044_vs_cell3;1;108;2;0;0;1;0;14:24:38;62;Desktop;"2022-05-02 14:23:36";"x,y,width,height: 671,346,14.659853693182,9.6670049715909";96;Closed;;;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0329xXQJ;q3s6cv5rezdw0dd8;"DONUT SHOP DECAF 32 PODS";vrGOoorD;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell3;1;108;3;0;0;1;0;14:24:38;62;Desktop;"2022-05-02 14:23:36";"x,y,width,height: 677,212,19.546471590909,19.705817826705";62;Closed;C13;1;;;;2;;;;0;2022044_vs_cell3;NULL
;2022044_vs_cell3;0329xXQJ;q3s6cv5rezdw0dd8;"DONUT SHOP REGULAR MEDIUM ROAST 32 PODS";wJZq28BY;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;NULL;21.99;NULL;NULL;2022044_vs_cell3;1;108;6;0;0;0;0;14:24:38;62;Desktop;"2022-05-02 14:23:36";"x,y,width,height: 606,212,19.493356178977,19.705817826705";NULL;Closed;C11;1;;;;2;;;;0;2022044_vs_cell3;NULL
